order_details_id,order_id,order_date,order_time,item_id,menu_item_id,item_name,category,price
11,6,2023-01-01,"12:29:36 PM",101,101,Hamburger,American,12.95
26,11,2023-01-01,"1:02:59 PM",101,101,Hamburger,American,12.95
43,17,2023-01-01,"1:53:00 PM",101,101,Hamburger,American,12.95
63,24,2023-01-01,"2:23:01 PM",101,101,Hamburger,American,12.95
71,27,2023-01-01,"3:11:17 PM",101,101,Hamburger,American,12.95
83,33,2023-01-01,"3:54:08 PM",101,101,Hamburger,American,12.95
90,36,2023-01-01,"4:54:09 PM",101,101,Hamburger,American,12.95
123,51,2023-01-01,"6:48:28 PM",101,101,Hamburger,American,12.95
145,61,2023-01-01,"8:08:43 PM",101,101,Hamburger,American,12.95
147,62,2023-01-01,"8:50:16 PM",101,101,Hamburger,American,12.95
161,69,2023-01-01,"10:12:13 PM",101,101,Hamburger,American,12.95
178,77,2023-01-02,"12:22:46 PM",101,101,Hamburger,American,12.95
212,91,2023-01-02,"3:14:43 PM",101,101,Hamburger,American,12.95
215,92,2023-01-02,"3:17:02 PM",101,101,Hamburger,American,12.95
239,102,2023-01-02,"5:54:04 PM",101,101,Hamburger,American,12.95
242,104,2023-01-02,"6:02:12 PM",101,101,Hamburger,American,12.95
288,121,2023-01-02,"7:38:48 PM",101,101,Hamburger,American,12.95
294,124,2023-01-02,"8:12:34 PM",101,101,Hamburger,American,12.95
313,133,2023-01-02,"10:00:17 PM",101,101,Hamburger,American,12.95
342,144,2023-01-03,"1:44:28 PM",101,101,Hamburger,American,12.95
396,167,2023-01-03,"5:00:49 PM",101,101,Hamburger,American,12.95
447,190,2023-01-03,"8:14:23 PM",101,101,Hamburger,American,12.95
458,194,2023-01-03,"9:21:24 PM",101,101,Hamburger,American,12.95
459,195,2023-01-03,"9:25:20 PM",101,101,Hamburger,American,12.95
488,208,2023-01-04,"12:12:05 PM",101,101,Hamburger,American,12.95
489,208,2023-01-04,"12:12:05 PM",101,101,Hamburger,American,12.95
503,216,2023-01-04,"2:31:56 PM",101,101,Hamburger,American,12.95
509,219,2023-01-04,"2:42:01 PM",101,101,Hamburger,American,12.95
527,225,2023-01-04,"4:41:48 PM",101,101,Hamburger,American,12.95
528,225,2023-01-04,"4:41:48 PM",101,101,Hamburger,American,12.95
531,227,2023-01-04,"5:24:39 PM",101,101,Hamburger,American,12.95
541,232,2023-01-04,"6:21:59 PM",101,101,Hamburger,American,12.95
